st_text,ts,sub,frm,email,tag,mid,link
Loaded by proxy,19-04-2026 15:05:03,Ardmillan Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@ardmillanorthodontics.co.uk,NA,<202604191141.42151121387@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 14:54:46,Honest question about Desert Dentistry's website,geri@smartflowdev.com,info@gbs.33a.myftpupload.com,NA,<202604182129.82186888409@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 14:21:39,Ocean Orthodontic Clinic — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@oceanorthodonticclinic.co.uk,NA,<202604191143.93677222430@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 14:20:46,Honest question about Vitaliteeth Dental Spa's website,geri@smartflowdev.com,info@vitaliteeth.co.uk,NA,<202604191142.38047612033@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:50:09,Honest question about Ocean Drive Dental Care's website,geri@smartflowdev.com,info@oceandrivedentalcare.co.uk,NA,<202604191142.34819625424@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:38,St Giles' Dentists — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,enquiries@42stgiles.com,NA,<202604191143.21774975743@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:31,Green Tree Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,peterborough@greentreedental.co.uk,NA,<202604191144.34113776321@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:44:29,Green Tree Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,peterborough@greentreedental.co.uk,NA,<202604191144.34113776321@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:26,Noticed something about Trumpington Street Dentistry's site,geri@smartflowdev.com,reception@trumpingtonstreetdentistry.co.uk,NA,<202604191144.63263647501@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:44:23,Noticed something about Trumpington Street Dentistry's site,geri@smartflowdev.com,reception@trumpingtonstreetdentistry.co.uk,NA,<202604191144.63263647501@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:21,Honest question about Newmarket Road Dentistry's website,geri@smartflowdev.com,reception@newmarketroaddentistry.co.uk,NA,<202604191144.25137393464@smtp-relay.mailin.fr>,NA
Clicked,19-04-2026 13:44:18,Noticed something about Damira Dental Studios's site,geri@smartflowdev.com,oxford.reception@damiradental.co.uk,NA,<202604191144.10856220180@smtp-relay.mailin.fr>,https://smartflowdev.com
Clicked,19-04-2026 13:44:18,Noticed something about Damira Dental Studios's site,geri@smartflowdev.com,oxford.reception@damiradental.co.uk,NA,<202604191144.10856220180@smtp-relay.mailin.fr>,https://smartflowdev.com/chatbot
Sent,19-04-2026 13:44:17,Honest question about Newmarket Road Dentistry's website,geri@smartflowdev.com,reception@newmarketroaddentistry.co.uk,NA,<202604191144.25137393464@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:13,John Moore Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@mooredental.com,NA,<202604191144.80093244646@smtp-relay.mailin.fr>,NA
Sent,19-04-2026 13:44:11,John Moore Dental — what happens when someone visits your site at 11pm?,geri@smartflowdev.com,info@mooredental.com,NA,<202604191144.80093244646@smtp-relay.mailin.fr>,NA
Soft bounce,19-04-2026 13:44:09,Honest question about Murrayfield Dental Practice's website,geri@smartflowdev.com,info@murrayfielddental.co.uk,NA,<202604191143.29399425387@smtp-relay.mailin.fr>,NA
First opening,19-04-2026 13:44:08,Noticed something about Damira Dental Studios's site,geri@smartflowdev.com,oxford.reception@damiradental.co.uk,NA,<202604191144.10856220180@smtp-relay.mailin.fr>,NA
Delivered,19-04-2026 13:44:06,Noticed something about Damira Dental Studios's site,geri@smartflowdev.com,oxford.reception@damiradental.co.uk,NA,<202604191144.10856220180@smtp-relay.mailin.fr>,NA
